Id,Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor,Max Floor
6061,квартира,33.3,5 050 000,Комендантский  проспект,3.6,Приморский район,15.0,,8,19
6062,квартира,60.0,7 150 000,Беговая,1.4,Приморский район,31.6,2.75,5,25
6063,квартира,68.3,10 490 000,Беговая,1,Приморский район,40.6,2.75,20,25
6064,квартира,42.4,5 750 000,Комендантский  проспект,0.9,Приморский район,17.5,2.8,16,27
6065,квартира,70.0,10 950 000,Беговая,1.2,Приморский район,35.0,2.74,16,22
6066,квартира,35.65,4 790 000,Комендантский  проспект,3.8,Приморский район,11.15,2.6,7,24
6067,Студия,20.84,2 740 000,Комендантский  проспект,3.8,Приморский район,14.47,,2,24
6068,Студия,21.13,3 060 000,Комендантский  проспект,3.8,Приморский район,15.32,,24,24
6069,квартира,32.55,4 440 000,Комендантский  проспект,3.7,Приморский район,15.01,2.7,12,25
6070,квартира,31.85,4 590 000,Комендантский  проспект,3.7,Приморский район,15.01,2.7,2,25
6071,Студия,25.24,4 170 000,Комендантский  проспект,2,Приморский район,18.24,,7,25
6072,квартира,34.88,5 210 000,Комендантский  проспект,2.4,Приморский район,13.96,2.7,11,24
6073,Студия,25.0,3 350 000,Комендантский  проспект,3.8,Приморский район,18.0,,21,25
6074,квартира,35.53,4 540 000,Комендантский  проспект,2.9,Приморский район,16.44,2.77,12,19
6075,квартира,34.03,4 600 000,Комендантский  проспект,2.9,Приморский район,15.3,2.77,10,19
6076,квартира,57.0,7 000 000,Комендантский  проспект,3.8,Приморский район,24.0,,9,25
6077,квартира,40.32,5 420 000,Комендантский  проспект,3.7,Приморский район,17.14,2.7,19,25
6078,квартира,68.21,7 560 000,Комендантский  проспект,3.5,Приморский район,38.36,2.64,15,17
6079,Студия,24.8,4 100 000,Комендантский  проспект,2.3,Приморский район,13.0,,24,25
6080,Студия,24.96,3 295 000,Комендантский  проспект,3.8,Приморский район,18.42,,20,25
6081,Студия,21.1,3 375 000,Беговая,1.7,Приморский район,15.3,,21,25
6082,Студия,25.02,4 610 000,Комендантский  проспект,2,Приморский район,18.14,,25,25
6083,квартира,45.6,5 250 000,Комендантский  проспект,0.4,Приморский район,28.4,2.55,1,9
6084,Студия,25.19,3 700 000,Комендантский  проспект,2.3,Приморский район,18.2,,12,24
6085,квартира,28.74,3 740 000,Комендантский  проспект,3.8,Приморский район,14.16,2.6,5,24
6086,квартира,37.21,4 740 000,Комендантский  проспект,3.8,Приморский район,11.62,2.6,16,24
6087,Студия,26.82,3 950 000,Комендантский  проспект,2.4,Приморский район,19.1,,20,24
6088,Студия,21.3,3 525 000,Беговая,1.7,Приморский район,15.5,,15,25
6089,Студия,24.97,4 490 000,Комендантский  проспект,2.3,Приморский район,18.02,,14,25
6090,квартира,33.0,5 590 000,Беговая,2,Приморский район,15.6,2.6,7,17
6091,квартира,42.3,6 050 000,Беговая,1.4,Приморский район,17.2,2.87,4,12
6092,квартира,66.7,6 800 000,Комендантский  проспект,1.1,Приморский район,24.0,,16,16
6093,квартира,65.2,10 200 000,Беговая,1,Приморский район,31.0,2.7,7,15
6094,квартира,56.7,5 200 000,Комендантский  проспект,1.8,Приморский район,30.3,2.6,9,10
6095,Студия,26.95,4 800 000,Старая Деревня,0.8,Приморский район,20.0,,7,8
6096,квартира,42.0,6 000 000,Беговая,1.8,Приморский район,18.9,2.75,3,25
6097,квартира,41.7,3 950 000,Комендантский  проспект,1,Приморский район,33.2,,10,16
6098,Студия,24.83,3 280 000,Комендантский  проспект,2.9,Приморский район,16.56,,10,19
6099,квартира,54.42,6 475 000,Комендантский  проспект,2.9,Приморский район,30.0,2.77,10,19
